dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
1507,6,6,-0.470231891,301,50,66,501,12.72996521,-4777.92334,9.899495125,17.34932518,140.1944275,0.006386781,-0.00302251,0
1051,6,6,-0.505809426,200,450,66,501,7.422777176,6742.672852,7.348469257,13.67494583,99.46231842,-0.012059378,-0.024882009,0
1227,6,6,-0.815217376,150,150,66,500,13.31355381,-1644.321167,6.164413929,8.206727028,303.6900635,-0.020048179,0.010240619,0
872,6,6,-0.57034117,200,501,66,501,12.76764011,-697.4165039,11.09053612,17.74467087,180,0.011058626,0.039999999,0
2107,6,6,-0.786223292,301,501,66,200,15.07986164,-15198.34766,7.937253952,14.36605644,218.6598053,-0.000709537,-0.021940509,0
1368,6,6,-0.425103277,300,50,81,501,13.62389469,-3543.871094,8.544003487,14.36605644,128.6598053,-0.006385829,0.002437834,0
1210,6,6,-0.497183621,150,500,66,300,14.68599033,-1961.758545,9.327379227,15.020257,26.56505203,-0.010379114,-0.02862167,0
1623,7,4,-0.287451237,150,200,37,501,14.10564327,-1973.769653,9.949873924,17.87400818,187.1250153,8.49E-05,0.019540241,0
1420,7,6,-0.436897218,301,450,81,501,7.482616425,5700.859375,11.31370831,19.91116714,186.3401947,0.004022061,-0.013359522,0
1962,7,6,-0.554195166,301,300,66,501,8.290884018,77.39139557,12.12435532,18.9879818,144.462326,0.004131435,0.022998182,0
1734,6,6,-0.750082195,100,501,66,501,14.22199249,-4618.090332,6.63324976,11.30993271,180,0.006034343,0,0
1495,6,6,-0.767944932,100,501,66,501,13.43401051,-1008.347107,10.2469511,17.87400818,7.125016212,-0.001442985,-0.014655181,0
1521,5,6,-0.462828755,300,150,66,501,12.96064377,-1509.873535,13.71130943,23.8365345,185.1944275,0.004898004,0.01448572,0
2325,6,6,-0.821363926,100,501,37,501,6.022371292,140.2252045,10.77032948,16.23579216,105.9453964,0.015817625,0.048516788,0
1790,6,6,-0.814252317,301,501,66,500,13.61688137,-1390.015137,13.41640759,24.09484291,243.4349518,0.005842374,0.025759503,0
1983,6,6,-0.755994916,200,501,66,501,7.165167809,44.54485703,8.602325439,12.74985123,315,0.017814482,0.02828427,0
1641,6,6,-0.715700865,250,501,66,501,16.30927849,-24077.18359,9.539392471,17.74467087,180,0,0,0
2069,6,6,-0.787028909,250,501,66,501,13.189538,-907.6576538,6.324555397,11.52797318,258.6900635,-0.005557333,0.028964845,0
1102,6,6,-0.477046639,300,50,66,501,13.01856709,-765.0158081,7.280109882,11.52797318,258.6900635,0.008914888,0.016292725,0
1089,4,4,-0.221428573,100,300,66,501,13.0047102,-656.3978882,9.949873924,17.87400818,299.744873,-0.006535875,0.003663795,0
1734,6,6,-0.768466771,150,200,81,501,7.190039635,4254.769043,12.16552544,19.91116714,173.6598053,0.004735653,0.01960833,0
1522,6,6,-0.473774701,301,50,66,501,12.81813812,-5218.334473,11.31370831,17.34932518,50.19442749,0.022262495,0.0204859,0
1444,6,6,-0.762803257,100,501,66,501,7.24396801,475.7280884,9.84885788,16.23579216,164.0546112,-0.006733179,0.004146734,0
576,6,6,-0.634118974,50,200,66,501,12.71786118,-4720.438965,9.84885788,17.34932518,320.1944275,0.005018185,0.002015007,0
1586,5,6,-0.789706707,50,501,66,501,16.01758766,-7429.347656,8.366600037,15.020257,153.4349518,0.00461294,0.004770278,0
1744,5,6,-0.695608318,150,501,66,150,14.2688961,-160.6949921,11,18.74779129,135,0.001358598,-0.004714045,0
1681,6,6,-0.638569593,50,150,66,501,14.0854435,-2604.993408,9.643651009,17.74467087,270,0,-0.039999999,0
1195,6,6,-0.500332892,50,150,66,501,9.687714577,665.4447632,13.0766964,22.19160652,78.69007111,0.001465536,-0.004525757,0
2015,6,6,-0.758850336,50,501,66,501,8.427396774,42.46751022,5.916079998,3.237688065,135,-0.020700557,-0.084852815,0
1658,6,6,-0.520761251,301,400,66,50,16.64056778,-7333.240723,7.211102486,12.1561451,68.19859314,0.006185241,-0.001024526,0
1565,4,6,-0.432699263,301,50,81,501,6.283826828,1044.804688,11.2694273,19.79887581,270,-0.005330807,0,0
1101,3,6,-0.331261307,301,150,66,501,14.62840557,-4483.450684,9.899495125,17.74467087,270,0,0,0
1414,6,6,-0.760869563,50,250,66,501,15.91664886,-136595.9375,8.124038696,14.1969471,108.4349518,-0.010496392,-0.005059644,0
1084,6,6,-0.73780489,150,50,81,501,8.541777611,9058.674805,5.916079998,7.20912075,18.43494797,-0.018435776,-0.053126264,0
1448,6,6,-0.800250471,50,501,37,501,13.30509186,-2130.750732,13.15294647,23.8365345,95.19442749,-0.005118815,-0.013832674,0
1254,6,6,-0.660104692,301,501,66,501,13.16152573,-7356.369141,10.04987526,17.34932518,309.8055725,0.001368596,0.056420185,0
1875,6,6,-0.436597139,250,501,66,501,13.2333498,-377.7243042,10.04987526,18.25505829,194.0362396,0.012252785,-0.004565376,0
1032,6,6,-0.693994761,150,501,66,501,5.487418652,296.1518555,13.56466007,19.68572998,296.5650635,0.010684306,0.071554177,0
1347,6,6,-0.832792819,250,501,66,350,12.63611126,5967.613281,10.04987526,18.9879818,324.4623108,0.003034594,-0.01043087,0
1521,6,6,-0.719750166,250,300,66,501,4.281658173,2595.530029,13.30413437,23.39650154,326.3099365,0.003425258,0.004551386,0
1375,6,6,-0.810161889,250,100,81,501,15.3900938,-68315.35938,10.67707825,17.34932518,320.1944275,-0.012956042,-0.013769212,0
1494,5,6,-0.466968507,200,100,66,501,4.73375988,3542.216553,11.87434196,20.24305534,130.6012878,-0.003047121,-0.007350114,0
1515,7,6,-0.360376,150,501,81,501,7.985039234,5726.143066,10.53565407,19.79887581,180,-0.005330807,-0.035555556,0
1249,6,6,-0.543259859,200,50,66,501,6.982218266,3456.368896,10.81665421,19.91116714,6.340191841,0.004313985,-0.014329164,0
1462,6,6,-0.567375898,250,501,66,501,8.095522881,26820.45898,9.380831718,16.94235802,203.1985931,-0.003573902,-0.028615747,0
1718,6,6,-0.734868586,250,501,66,501,8.199287415,1445.914429,6.708203793,13.12884617,239.0362396,0.001477787,-0.006859943,0
1458,4,6,-0.203179643,301,150,81,501,8.146412849,556.7277832,9,16.08989334,123.6900711,-0.001310071,0.00512031,0
1211,6,6,-0.596444428,250,501,81,501,13.80027485,-428.3234558,7.615773201,12.1561451,291.8014221,-0.006185241,0.001024526,0
1581,6,6,-0.693121672,100,501,81,501,8.527098656,98.01202393,10.19803905,18.9879818,215.537674,-0.004314242,0.014829429,0
686,6,6,-0.458204955,50,250,105,400,5.950424671,292.1594238,5.744562626,10.14210606,333.4349365,0.010988361,0.007155417,0
1324,6,6,-0.782894731,200,501,66,50,16.94241142,-7925.529785,5.291502476,9.090276718,270,0,0,0
1480,6,6,-0.50969094,50,300,66,501,6.901609898,337.8116455,9.05538559,16.23579216,105.9453964,0.008336317,0.033588547,0
2075,6,6,-0.795015275,301,501,81,501,11.00504017,21.33613396,11.13552856,18.86838341,200.5560455,-0.00334277,-0.007182799,0
979,4,4,-0.273560196,150,501,66,400,13.6401701,-1239.206543,9.949873924,17.87400818,209.7448883,0.004159193,0.00488506,0
963,6,6,-0.420978397,300,100,66,501,15.29222298,-11630.22656,10.95445156,20.7804184,198.4349518,0.004184378,-0.013492385,0
1343,6,6,-0.824136913,50,500,66,150,9.385184288,4733.376953,9.949873924,13.12884617,149.0362396,-0.01868966,-0.077880532,0
1459,6,6,-0.48174572,301,150,66,501,8.278362274,15863.82324,8.246211052,13.67494583,170.537674,-0.013011433,-0.020616522,0
1880,6,6,-0.82186991,250,501,66,501,16.70513725,-77204.8125,8,14.36605644,38.65980911,-0.00212861,-0.015845923,0
1696,6,6,-0.784462631,100,501,66,501,13.70327091,-1319.922119,10.44030666,17.87400818,29.74488068,-0.006535875,0.003663795,0
1668,6,6,-0.452672243,50,200,66,400,5.013702393,606.1557617,8.660254478,13.67494583,260.5376892,0.008727181,0.039811213,0
776,6,6,-0.752808988,50,450,66,50,18.65116501,-143624.25,5.47722578,2.290610075,90,-0.019154012,-0.319999993,0
1927,6,6,-0.829622447,301,501,66,501,9.150831223,37959.16016,9.327379227,13.67494583,279.4623108,-0.011900702,-0.078200601,0
793,4,4,-0.354511648,250,350,66,300,13.41641045,-68.51295471,11.22497177,18.74779129,45,-0.00543439,0.018856181,0
1710,6,6,-0.709348023,301,400,81,501,14.83834457,-348.9252625,14,25.00792885,120.9637527,0.002521835,0.020176305,0
1212,4,6,-0.312473357,100,50,66,501,11.9592123,-178.2173462,3,2.290610075,180,0.006384671,0.319999993,0
1237,6,6,-0.518080115,301,50,66,501,15.56071758,-81025.03125,9.643651009,17.34932518,50.19442749,0.005018185,0.002015007,0
2111,6,6,-0.787467718,300,501,81,501,15.99811745,-148190.1406,8.717798233,14.1969471,161.5650482,0.01224579,-0.002529822,0
1955,6,6,-0.529388845,301,501,66,501,9.015655518,60.04721451,8.426149368,15.79316902,261.8699036,-0.005303069,-0.024211336,0
1875,6,6,-0.877031803,200,501,66,501,11.69626713,91412.85938,9.273618698,10.14210606,296.5650635,-0.017093007,-0.186040848,0
1134,6,6,-0.435142577,100,300,66,501,17.44078636,-115442.9531,6.782330036,11.30993271,216.8699036,-0.011344564,-0.035840001,0
1375,4,6,-0.321827918,100,150,66,500,13.52003574,-1976.683228,12.48999596,20.7804184,71.56504822,0.005230473,0.016865481,0
1057,6,6,-0.798107266,150,100,81,501,8.416465759,18213.17383,7.549834251,13.67494583,170.537674,-0.00238014,-0.068247795,0
1829,6,6,-0.731333077,200,501,81,501,7.700713158,8903.037109,8.426149368,13.67494583,170.537674,-0.00079338,0.02985841,0
852,7,6,-0.354028434,200,501,81,501,10.32605362,23223.68555,6.324555397,10.14210606,153.4349518,-0.007325574,-0.02862167,0
1652,6,6,-0.525605559,301,50,81,501,15.36045647,-308.5072021,8.888194084,15.64224625,270,-0.00571492,0,0
2140,6,6,-0.788245082,100,501,81,501,13.60415363,-48.31869125,6.164413929,9.365158081,104.0362473,0.009763652,0.054784518,0
1460,6,6,-0.494412839,50,501,66,200,7.926370621,473.1361084,12,22.3830986,60.94539642,0.004821026,-0.014807528,0
2207,6,6,-0.741786182,300,501,66,501,15.16688919,-394.4536438,11.04536057,18.74779129,225,-0.013585976,-0.02828427,0
1509,6,6,-0.80853194,301,501,66,450,14.96816444,1122.73877,11.04536057,18.86838341,339.4439697,0.001559959,0.013339484,0
1282,6,6,-0.723624349,301,50,66,250,16.43976212,-59209.87109,8,14.36605644,38.65980911,-0.004966756,-0.003656751,0
1473,6,6,-0.720982134,301,150,66,501,8.162936211,25.59538841,9.643651009,15.79316902,225,0.004276669,0.02828427,0
1644,5,6,-0.49104479,50,50,81,501,7.830218792,3083.043213,11.7473402,19.68572998,153.4349518,0.002136861,-0.007155417,0
1560,7,6,-0.465217382,150,501,66,501,5.546327114,758.7901611,12.92284775,23.0354805,138.8140717,0.002869131,0.036496639,0
1276,6,6,-0.520621598,100,501,81,501,11.93618965,1113.947144,9.591663361,15.79316902,171.8699036,-0.018475208,-0.017196838,0
807,6,6,-0.484245121,301,501,66,501,10.28302574,213.2576294,9.746794701,15.79316902,8.130102158,0.017049652,-0.022401143,0
1464,6,6,-0.467268616,250,501,66,450,5.487865925,1976.857178,10.86278057,16.94235802,246.8014069,-0.009659195,-0.005795594,0
1760,6,6,-0.785070777,301,50,66,50,8.470689774,1622.248169,9.327379227,16.23579216,164.0546112,-0.003740655,-0.007464121,0
910,4,6,-0.382011414,50,50,81,501,10.4267683,59663.12109,4,7.20912075,288.4349365,-0.006249416,-0.050596442,1
908,7,2,-0.256703645,50,50,81,501,10.62757015,300.9807129,9.591663361,15.79316902,225,-0.008553337,-0.011313708,1
839,6,6,-0.423765361,100,50,66,200,14.50535202,-118.9872437,5.916079998,9.365158081,75.96375275,-0.00108485,0.045653764,1
868,6,6,-0.750325084,300,50,66,501,5.193284988,3387.079102,18.57417488,29.61852455,219.2894135,0.003174389,0.01401622,1
