dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
32,5,6,-0.732988358,6,50,22,501,7.632719517,294.0071716,11.2694273,20.67446327,147.9946136,0.003828036,0.004573474,1
43,2,6,-0.342311263,1,50,16,501,8.648936272,73.01217651,4.582575798,6.45483017,315,-0.004709293,-0.070710681,1
98,3,6,-0.652852535,4,500,22,501,8.1936903,376.2773132,10,17.87400818,262.8749695,-0.011289239,-0.018929608,1
34,7,1,-0.207725152,5,50,22,501,8.187957764,333.8356628,10,16.94235802,156.8014069,-0.007630765,-0.013402312,1
35,3,1,-0.706715941,1,50,37,501,7.534921169,389.4377136,12.64911079,24.51631355,52.12501526,-0.000148319,-0.027634075,1
47,1,2,-0.125994712,3,50,22,500,7.171720982,18.75,4.242640495,6.842773438,180,0.018792622,0,1
429,5,1,-0.749557018,1,501,29,501,8.561331749,242.4695435,7.211102486,12.1561451,201.8014069,0.006597591,-0.062496085,0
697,5,1,-0.795982659,3,50,13,501,10.72336483,5811.766602,11.04536057,19.68572998,206.5650482,0.002136861,-0.007155417,0
99,6,6,-0.723625541,2,500,16,501,7.583559513,481.1821899,15.394804,26.32494736,255.9637604,0.010029595,0.010652545,0
194,5,1,-0.608603954,1,501,22,501,7.119040489,19.76423454,4.79583168,7.20912075,71.56504822,0.009061653,0.027828043,0
415,5,1,-0.74306637,6,200,24,501,7.040604591,228.4155579,13.41640759,24.09484291,10.30484676,0.005452882,0.026904371,0
507,4,1,-0.747479379,1,501,11,501,8.717933655,723.6060791,10.67707825,18.9879818,144.462326,-0.002851787,-0.02739674,0
511,5,1,-0.655551612,4,501,22,500,9.048331261,503.4568176,8.246211052,13.67494583,9.462322235,-0.000634704,-0.02346018,0
507,6,6,-0.71287781,1,501,27,50,9.967311859,2489.955566,10.53565407,18.86838341,20.55604553,-0.000668554,-0.016417827,0
495,5,1,-0.744773507,1,501,15,100,7.827462673,164.5613098,7.937253952,14.36605644,218.6598053,-0.003547683,-0.009751338,0
436,5,1,-0.79790169,4,501,24,501,8.140452385,274.4376221,9.591663361,15.79316902,98.13010406,-0.004675824,0.018554483,0
93,6,6,-0.535449743,2,200,12,500,7.782231331,498.7047119,14.3178215,24.51631355,322.1250305,-0.003652351,-0.017433215,0
138,5,6,-0.74283576,2,200,22,100,7.534169674,266.4147034,12.16552544,20.67446327,237.9946136,-0.002650179,-0.008384703,0
1408,6,1,-0.762781203,1,501,34,501,7.260529995,45.53633118,6.403124332,10.14210606,333.4349365,0.006104645,-0.035777088,0
393,5,1,-0.785053372,3,501,24,501,8.06900692,419.0435181,11.70469952,19.91116714,96.3401947,0.005027577,0.018638687,0
181,5,4,-0.735455751,2,500,22,501,6.714118004,96.23816681,11.7473402,18.86838341,339.4439697,0.011068284,0.017956998,0
247,3,1,-0.726243734,3,50,24,501,7.119040489,19.76423454,5.099019527,7.20912075,71.56504822,0.004374591,0.065775372,0
93,3,1,-0.726868093,4,500,2,501,6.742564201,136.9934692,12,21.89988136,95.71059418,0.000303686,0.014974817,0
163,5,6,-0.738457263,2,500,27,501,6.723803997,98.50598907,10.90871239,18.9879818,54.46232224,0.001572139,0.031795301,0
425,6,1,-0.734611154,2,500,29,200,6.531036854,71.35536957,10.58300495,17.87400818,7.125016212,0.009252083,0.026257198,0
299,6,4,-0.649037004,6,500,22,501,14.1394825,37606.95703,6.164413929,9.365158081,284.0362549,-0.001808084,-0.105003662,0
155,5,1,-0.781455219,1,501,11,501,9.800317764,3001.768555,12.24744892,22.19160652,191.3099365,-0.010161052,-0.031378582,0
359,7,6,-0.731596828,1,501,7,50,10.23137474,1776.681641,8.602325439,14.1969471,108.4349518,0,0,0
289,5,1,-0.820297718,1,501,29,501,8.081755638,207.0341492,7.681145668,14.1969471,161.5650482,-0.004373496,0.018973665,0
1301,6,1,-0.718209565,1,501,33,501,6.160579205,51.53881836,12.52996445,18.25505829,165.9637604,0.023215804,0.034240324,0
121,5,4,-0.72967267,3,100,27,500,8.488225937,318.6351929,7.937253952,14.36605644,218.6598053,-0.003547683,-0.009751338,0
165,6,1,-0.773000836,1,501,22,501,12.07976532,10153.08008,8.062257767,13.49573326,90,0,-0.053333335,0
169,5,6,-0.659279764,3,500,21,501,8.157305717,474.473175,11.3578167,20.24305534,139.3987122,-0.003047121,-0.007350114,0
390,5,1,-0.732344449,1,501,22,501,13.15285778,37114.72266,9.273618698,15.020257,116.5650482,-0.00922588,-0.033391949,0
105,5,1,-0.759565949,4,500,16,501,7.076461792,185.6155243,10.90871239,21.60256577,225,-0.001285975,0.03636549,0
514,6,1,-0.71536243,3,100,28,501,6.884038925,24.99999809,7.483314991,9.090276718,270,0.012323752,0.159999996,0
551,5,1,-0.764759898,1,501,11,501,9.393449783,192.1513672,5.385164738,7.20912075,18.43494797,0.005936945,-0.04806662,0
208,5,6,-0.687578917,3,501,27,501,7.763736248,244.7829437,11.48912525,17.87400818,97.12501526,0.010610186,0.021372139,0
793,6,1,-0.090794057,3,501,22,501,9.282593727,1117.924438,11.87434196,17.87400818,299.744873,-0.001782511,-0.013433916,0
272,5,1,-0.764287829,3,501,18,501,7.194191456,112.9258575,8.306623459,16.23579216,285.9454041,-0.006733179,0.004146734,0
853,6,1,-0.755744874,4,501,15,501,7.505629063,116.3679276,8.306623459,14.1969471,71.56504822,-0.01312049,0.006324555,0
429,5,1,-0.746294916,3,200,25,500,6.874881744,123.8605881,10.67707825,19.68572998,296.5650635,0,0,0
768,7,6,-0.755313039,1,500,36,501,6.449411869,80.93828583,11.48912525,19.68572998,26.56505203,0.004273722,0.021466253,0
223,6,1,-0.769380391,4,500,22,501,7.135746002,251.2147675,13.45362377,24.09484291,243.4349518,0.002921187,0.005724334,0
589,6,6,-0.718135655,1,501,12,50,6.324202061,60.70088196,11.78982639,18.25505829,345.9637451,0.009028368,0.045653764,0
1184,6,1,-0.784055948,4,501,35,501,10.28235817,3785.9646,11.09053612,19.79887581,90,-0.005330807,0,0
316,5,1,-0.678666651,5,501,22,501,7.201135635,175.9329681,11.3578167,19.91116714,263.6598206,0.006325016,0.04966725,0
